city,country,city_id,date,latitude,longitude,cloudiness,description,temperature,feels_like,temp_min,temp_max,humidity,visbility,windspeed
High Level,CA,5975004,1648790188,58.5169,-117.136,100,light snow,19.51,8.02,19.51,19.51,73,10000,10.36
Mitsamiouli,KM,921786,1648790189,-11.3847,43.2844,71,broken clouds,81.64,85.98,81.64,81.64,71,10000,0.98
Bograd,RU,1509847,1648790189,54.2344,90.8328,100,overcast clouds,44.56,40.5,44.56,44.56,60,10000,7.27
Tonekābon,IR,112656,1648790189,36.8163,50.8738,0,clear sky,58.95,57.54,58.95,58.95,64,10000,3.49
Eskilstuna,SE,2715953,1648790190,59.3666,16.5077,40,scattered clouds,25.86,25.86,20.98,25.86,93,10000,1.99
Basco,PH,1726449,1648790191,20.4487,121.9702,63,broken clouds,76.78,78.01,76.78,76.78,82,10000,32.3
Cap Malheureux,MU,934649,1648790191,-19.9842,57.6142,57,light rain,77.47,78.85,77.47,77.47,84,10000,7.0
Yuli,NG,2317982,1648790191,9.6989,10.2744,67,broken clouds,75.72,73.51,75.72,75.72,11,10000,3.71
Isangel,VU,2136825,1648790192,-19.55,169.2667,87,overcast clouds,85.01,93.88,85.01,85.01,73,10000,4.74
Xai-Xai,MZ,1024552,1648790192,-25.0519,33.6442,10,clear sky,73.92,75.2,73.92,73.92,89,10000,5.23
Kuala Sungai Baru,MY,1759513,1648790192,2.3594,102.0353,21,few clouds,93.24,105.84,93.24,93.24,65,10000,7.92
Srednekolymsk,RU,2121025,1648790193,67.45,153.6833,100,overcast clouds,5.04,-4.52,5.04,5.04,80,10000,4.94
Boda,CF,2388614,1648790193,4.3189,17.4695,85,overcast clouds,74.97,75.04,74.97,74.97,61,10000,3.15
Pilot Butte,CA,6104745,1648790194,50.4668,-104.4178,100,overcast clouds,35.19,25.3,33.53,35.65,77,10000,16.11
Abu Samrah,SY,172515,1648790194,35.3029,37.1841,39,scattered clouds,61.74,59.54,61.74,61.74,41,10000,5.68
Nur-Sultan,KZ,1526273,1648790033,51.1801,71.446,0,clear sky,35.55,31.71,35.55,35.55,80,10000,4.47
